Product Sk,siteId,skuId,Unit Cost
hbi|eu|be|1093,60,1093,9.14
hbi|eu|be|1103,60,1103,5.7
hbi|eu|be|11108,60,11108,8.02
hbi|eu|be|11174,60,11174,5.2
hbi|eu|be|11136,60,11136,6.99
hbi|eu|be|13791,60,13791,1.68
hbi|eu|be|14293,60,14293,3.67
hbi|eu|be|1450,60,1450,1.28
hbi|eu|be|14704,60,14704,3.99
hbi|eu|be|15258,60,15258,5.04
hbi|eu|be|15186,60,15186,4.18
hbi|eu|be|15831,60,15831,0.87
hbi|eu|be|15316,60,15316,5.13
hbi|eu|be|15838,60,15838,0.83
hbi|eu|be|15881,60,15881,1.09
hbi|eu|be|15882,60,15882,1.03
hbi|eu|be|16370,60,16370,4.53
hbi|eu|be|2717,60,2717,5.2
hbi|eu|be|16665,60,16665,5.74
hbi|eu|be|28765,60,28765,0.87
hbi|eu|be|17511,60,17511,2.31
hbi|eu|be|3451,60,3451,0.87
hbi|eu|be|17741,60,17741,6.16
hbi|eu|be|35454,60,35454,4.42
hbi|eu|be|18977,60,18977,1.1
hbi|eu|be|36741,60,36741,1.15
hbi|eu|be|23061,60,23061,9.63
hbi|eu|be|37291,60,37291,1.37
hbi|eu|be|23460,60,23460,1.51
hbi|eu|be|38935,60,38935,1.51
hbi|eu|be|24899,60,24899,5.2
hbi|eu|be|40664,60,40664,4.62
hbi|eu|be|25739,60,25739,9.03
hbi|eu|be|41828,60,41828,6.45
hbi|eu|be|27514,60,27514,2.41
hbi|eu|be|45751,60,45751,3.42
hbi|eu|be|27516,60,27516,2.24
hbi|eu|be|45845,60,45845,3.05
hbi|eu|be|35478,60,35478,7.62
hbi|eu|be|4667,60,4667,3.95
hbi|eu|be|4025,60,4025,2.65
hbi|eu|be|47413,60,47413,2.72
hbi|eu|be|43529,60,43529,2.37
hbi|eu|be|47845,60,47845,1.43
hbi|eu|be|46038,60,46038,12.2
hbi|eu|be|48867,60,48867,1.74
hbi|eu|be|47765,60,47765,2.68
hbi|eu|be|49712,60,49712,5.88
hbi|eu|be|49229,60,49229,1.47
hbi|eu|be|50395,60,50395,1.55
hbi|eu|be|57160,60,57160,1.72
hbi|eu|be|51348,60,51348,4.26
hbi|eu|be|57483,60,57483,1.61
hbi|eu|be|56550,60,56550,1.52
hbi|eu|be|58336,60,58336,5.57
hbi|eu|be|56551,60,56551,0.94
hbi|eu|be|59633,60,59633,3.49
hbi|eu|be|56571,60,56571,1.15
hbi|eu|be|62504,60,62504,4.71
hbi|eu|be|59395,60,59395,5.55
hbi|eu|be|7322,60,7322,1.43
hbi|eu|be|61510,60,61510,0.67
hbi|eu|be|76873,60,76873,1.65
hbi|eu|be|61521,60,61521,1.45
hbi|eu|be|82833,60,82833,0.97
hbi|eu|be|7851,60,7851,2.09
hbi|eu|be|83618,60,83618,2.23
hbi|eu|be|82709,60,82709,1.9
hbi|eu|be|86375,60,86375,2.06
hbi|eu|be|83688,60,83688,1.79
hbi|eu|be|87079,60,87079,0.91
hbi|eu|be|92302,60,92302,2.7
hbi|eu|be|92549,60,92549,8.66
hbi|eu|be|9323,60,9323,13.58
hbi|eu|be|94666,60,94666,5.74
hbi|eu|be|9325,60,9325,5.28
hbi|eu|be|95783,60,95783,1.23
hbi|eu|be|93483,60,93483,4.59
hbi|eu|be|61521,60,61521,1.45
hbi|eu|be|93703,60,93703,1.77
hbi|eu|ie|10414,30,10414,7.59
hbi|eu|be|98251,60,98251,4.56
hbi|eu|ie|11193,30,11193,3.85
hbi|eu|be|57780,60,57780,1.88
hbi|eu|ie|11317,30,11317,2.21
hbi|eu|ie|12188,30,12188,2.85
hbi|eu|ie|13256,30,13256,0.85
hbi|eu|ie|12814,30,12814,2.31
hbi|eu|ie|13728,30,13728,5.39
hbi|eu|ie|12815,30,12815,1.52
hbi|eu|ie|1414,30,1414,5.18
hbi|eu|ie|1411,30,1411,4.27
hbi|eu|ie|14646,30,14646,1.4
hbi|eu|ie|1422,30,1422,5.46
hbi|eu|ie|14660,30,14660,1.4
hbi|eu|ie|16852,30,16852,3.57
hbi|eu|ie|19076,30,19076,2.22
hbi|eu|ie|1806,30,1806,1.61
hbi|eu|ie|20283,30,20283,0.57
hbi|eu|ie|1811,30,1811,4.91
hbi|eu|ie|24965,30,24965,21.86
hbi|eu|ie|20604,30,20604,4.47
hbi|eu|ie|25670,30,25670,3.32
hbi|eu|ie|21266,30,21266,0.9
hbi|eu|ie|29323,30,29323,0.51
hbi|eu|ie|25668,30,25668,3.24
hbi|eu|ie|3281,30,3281,0.79
hbi|eu|ie|29177,30,29177,0.89
hbi|eu|ie|33620,30,33620,2.21
hbi|eu|ie|33632,30,33632,1.51
hbi|eu|ie|33752,30,33752,5.09
hbi|eu|ie|33635,30,33635,3.66
hbi|eu|ie|34469,30,34469,5.99
hbi|eu|ie|34073,30,34073,3.37
hbi|eu|ie|34580,30,34580,5.53
hbi|eu|ie|42516,30,42516,0.98
hbi|eu|ie|39660,30,39660,7.08
hbi|eu|ie|42629,30,42629,1.08
hbi|eu|ie|41619,30,41619,2.97
hbi|eu|ie|43125,30,43125,2.42
hbi|eu|ie|41945,30,41945,2.08
hbi|eu|ie|43168,30,43168,2.8
hbi|eu|ie|43733,30,43733,3.75
hbi|eu|ie|43191,30,43191,3.8
hbi|eu|ie|44935,30,44935,1.86
hbi|eu|ie|4472,30,4472,3.64
hbi|eu|ie|46883,30,46883,4.06
hbi|eu|ie|46039,30,46039,15.1
hbi|eu|ie|46890,30,46890,5.42
hbi|eu|ie|46971,30,46971,0.36
hbi|eu|ie|46891,30,46891,4.6
hbi|eu|ie|47010,30,47010,2.71
hbi|eu|ie|46899,30,46899,1.2
hbi|eu|ie|47682,30,47682,2.58
hbi|eu|ie|46965,30,46965,7.37
hbi|eu|ie|48196,30,48196,1.09
hbi|eu|ie|47014,30,47014,6.63
hbi|eu|ie|48755,30,48755,2.34
hbi|eu|ie|47271,30,47271,1.31
hbi|eu|ie|48771,30,48771,7.39
hbi|eu|ie|47592,30,47592,2.09
hbi|eu|ie|51557,30,51557,2.57
hbi|eu|ie|48242,30,48242,5.79
hbi|eu|ie|60051,30,60051,1.39
hbi|eu|ie|48756,30,48756,2.53
hbi|eu|ie|60229,30,60229,5.94
hbi|eu|ie|49238,30,49238,4.52
hbi|eu|ie|60285,30,60285,0.6
hbi|eu|ie|50590,30,50590,7.75
hbi|eu|ie|60572,30,60572,2.33
hbi|eu|ie|50623,30,50623,10.2
hbi|eu|ie|61488,30,61488,5.1
hbi|eu|ie|5367,30,5367,3.02
hbi|eu|ie|61659,30,61659,1.05
hbi|eu|ie|60699,30,60699,6.29
hbi|eu|ie|6316,30,6316,3.67
hbi|eu|ie|63032,30,63032,23.05
hbi|eu|ie|63552,30,63552,1.57
hbi|eu|ie|672,30,672,2.9
hbi|eu|ie|63566,30,63566,1.27
hbi|eu|ie|7118,30,7118,4.62
hbi|eu|ie|63728,30,63728,33.79
hbi|eu|ie|72889,30,72889,3.32
hbi|eu|ie|63731,30,63731,22.47
hbi|eu|ie|72899,30,72899,3.26
hbi|eu|ie|6625,30,6625,3.13
hbi|eu|ie|77144,30,77144,2.28
hbi|eu|ie|76075,30,76075,3.9
hbi|eu|ie|7850,30,7850,1.95
hbi|eu|ie|76745,30,76745,22.06
hbi|eu|ie|78924,30,78924,7.34
hbi|eu|ie|7769,30,7769,1.09
hbi|eu|ie|79231,30,79231,12.97
hbi|eu|ie|80170,30,80170,2.61
hbi|eu|ie|81983,30,81983,1.02
hbi|eu|ie|83803,30,83803,1.75
hbi|eu|ie|83258,30,83258,6.11
hbi|eu|ie|8557,30,8557,3.51
hbi|eu|ie|83586,30,83586,3.19
hbi|eu|ie|8582,30,8582,2.52
hbi|eu|ie|83587,30,83587,1.59
hbi|eu|ie|9072,30,9072,7.2
hbi|eu|ie|8366,30,8366,6.22
hbi|eu|ie|91007,30,91007,0.93
hbi|eu|ie|8500,30,8500,1.3
hbi|eu|ie|91010,30,91010,0.61
hbi|eu|ie|86890,30,86890,1.63
hbi|eu|ie|92612,30,92612,2.47
hbi|eu|ie|90709,30,90709,2.06
hbi|eu|ie|9605,30,9605,2.82
hbi|eu|ie|90993,30,90993,0.82
hbi|eu|ie|9805,30,9805,3
hbi|eu|ie|91941,30,91941,9.97
hbi|eu|ie|99176,30,99176,6.1
hbi|eu|ie|9729,30,9729,2.13
hbi|eu|ie|47120,30,47120,4.05
hbi|eu|ie|42315,30,42315,5.13
hbi|eu|ie|81354,30,81354,0.74
hbi|eu|ie|46040,30,46040,14.02
hbi|eu|nl|1094,40,1094,7.96
hbi|eu|ie|46940,30,46940,1.79
hbi|eu|nl|11213,40,11213,8.01
hbi|eu|ie|47153,30,47153,6.74
hbi|eu|nl|11223,40,11223,3.76
hbi|eu|ie|47347,30,47347,1
